City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Arya,PK,71.6,smoke,33.6,73.07,Jungle Barracks
350,Bairiki,KI,84.2,broken clouds,1.33,172.98,Tarawa Boutique Hotel
353,Tougan,BF,79.57,clear sky,13.07,-3.07,Hôtel SMAK
355,Itarema,BR,79.36,scattered clouds,-2.92,-39.92,Windvillage
356,Carutapera,BR,78.84,broken clouds,-1.2,-46.02,Lidera
358,Puerto Leguizamo,CO,74.44,overcast clouds,-0.19,-74.78,la casona de juancho
364,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
372,Cam Ranh,VN,89.6,few clouds,11.92,109.16,OYO 598 Peony Hotel
373,Sao Joao Da Barra,BR,71.94,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
378,Acapulco,MX,80.51,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
379,Olinda,BR,78.8,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
380,Itoman,JP,86.0,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
382,Khartoum,SD,78.8,scattered clouds,15.55,32.53,Hotel China
384,Bac Lieu,VN,84.97,moderate rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
386,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
387,Pitimbu,BR,73.4,scattered clouds,-7.47,-34.81,Reserva do Abiaí
393,Kampot,KH,86.0,scattered clouds,10.62,104.18,Champa Lodge
394,Kijang,KR,73.4,clear sky,35.24,129.21,Brown Dot Gijang Yeonhwari
396,Hervey Bay,AU,81.0,broken clouds,-25.3,152.85,Shelly Bay Resort
400,Licheng,CN,84.0,scattered clouds,23.3,113.83,Xincheng Tourism Industry
402,Sorong,ID,83.34,light rain,-0.88,131.25,The Waigo Hotel
405,Geraldton,AU,75.2,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
406,Eldorado,BR,72.46,clear sky,-23.79,-54.28,Villa Verde Hotel
409,Cairns,AU,86.0,few clouds,-16.92,145.77,Mantra Trilogy Cairns
413,Touros,BR,73.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
