,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Meulaboh,ID,4.14,96.13,87.98,56,5,4.68,clear sky
336,Yar-Sale,RU,66.83,70.83,18.84,97,10,3.06,clear sky
337,Tarakan,ID,3.3,117.63,80.58,81,100,7.52,overcast clouds
338,Gornoye Loo,RU,43.71,39.6,52.0,87,40,6.71,scattered clouds
339,Coquimbo,CL,-29.95,-71.34,57.2,71,0,12.75,clear sky
340,Komsomolskiy,UZ,40.43,71.72,64.4,22,0,2.24,clear sky
341,Beringovskiy,RU,63.05,179.32,39.74,94,97,11.74,overcast clouds
342,Mpika,ZM,-11.83,31.45,69.93,53,0,9.24,clear sky
343,Karpathos,GR,35.51,27.21,66.2,77,20,6.93,few clouds
344,Maragogi,BR,-9.01,-35.22,74.21,79,20,8.77,few clouds
345,Tiquisio,CO,8.56,-74.27,74.3,93,100,1.28,overcast clouds
346,Mukhen,RU,48.1,136.1,48.22,48,0,6.29,clear sky
347,Arya,PK,33.6,73.07,71.6,43,0,10.29,smoke
348,Haines Junction,CA,60.75,-137.51,27.9,82,100,2.06,overcast clouds
349,Rawson,AR,-43.3,-65.1,50.11,48,1,10.29,clear sky
350,Bairiki,KI,1.33,172.98,84.2,74,75,9.17,broken clouds
351,Caernarfon,GB,53.14,-4.27,57.2,87,96,21.92,overcast clouds
352,Shimoda,JP,34.67,138.95,66.2,63,75,18.34,broken clouds
353,Tougan,BF,13.07,-3.07,79.57,55,0,5.75,clear sky
354,Dunedin,NZ,-45.87,170.5,51.01,71,85,11.01,overcast clouds
355,Itarema,BR,-2.92,-39.92,79.36,77,28,18.88,scattered clouds
356,Carutapera,BR,-1.2,-46.02,78.84,81,54,8.46,broken clouds
357,Aberdeen,GB,57.14,-2.1,51.01,93,75,4.7,broken clouds
358,Puerto Leguizamo,CO,-0.19,-74.78,74.44,79,98,0.47,overcast clouds
359,Van,TR,38.49,43.38,41.0,65,4,3.36,clear sky
360,Shafranovo,RU,53.97,54.77,40.93,83,100,11.54,light rain
361,Raudeberg,NO,61.99,5.14,43.0,64,100,8.21,light rain
362,Kardla,EE,59.0,22.75,42.8,70,75,14.99,broken clouds
363,Glarus,CH,47.04,9.07,39.99,85,55,3.0,broken clouds
